,mutant_ID,mutated_genes,plate,i (converted to letter),j,source_df
0,LMJ.RY0402.052879,Cre16.g675350,20,C,15,light_specific_y2
1,LMJ.RY0402.046388,Cre11.g476050,23,G,8,light_specific_y2
2,LMJ.RY0402.219441,Cre12.g524750,22,L,6,light_specific_y2
3,LMJ.RY0402.135927,Cre12.g538550,21,G,4,light_specific_y2
4,LMJ.RY0402.243547,Cre16.g647850,23,J,5,light_specific_y2
5,LMJ.RY0402.205841,Cre17.g728250,23,L,16,light_specific_y2
6,LMJ.RY0402.061417,Cre07.g352950,20,F,10,light_specific_y2
7,LMJ.RY0402.065123,Cre03.g182850,16,B,24,light_specific_y2
8,LMJ.RY0402.050166,Cre10.g453900,20,B,6,light_specific_y2
9,LMJ.RY0402.047723,Cre03.g183200,1,C,1,light_specific_y2
10,LMJ.RY0402.118176,Cre08.g384150,5,G,15,light_specific_y2
11,LMJ.RY0402.167871,Cre02.g112250,9,C,9,light_specific_y2
12,LMJ.RY0402.154368,Cre05.g245351,21,K,23,light_specific_y2
13,LMJ.RY0402.092899,Cre10.g453900,20,L,6,light_specific_y2
14,LMJ.RY0402.133434,Cre07.g344600,6,I,3,light_specific_y2
15,LMJ.RY0402.255048,Cre16.g658900,23,D,4,light_specific_y2
16,LMJ.RY0402.240022,Cre08.g374450,22,P,24,light_specific_y2
17,LMJ.RY0402.138453,Cre10.g443150,17,E,19,light_specific_y2
18,LMJ.RY0402.164134,Cre02.g095135,8,A,4,light_specific_y2
19,LMJ.RY0402.139417,Cre04.g224700,6,P,3,light_specific_y2
20,LMJ.RY0402.136684,Cre10.g453900,21,G,2,light_specific_y2
21,LMJ.RY0402.103724,Cre14.g627251,4,H,23,light_specific_y2
23,LMJ.RY0402.105719,Cre07.g326800,4,I,22,light_specific_y2
25,LMJ.RY0402.243179,Cre13.g590600,14,I,14,light_specific_y2
26,LMJ.RY0402.231794,Cre16.g675350,22,O,12,light_specific_y2
27,LMJ.RY0402.104915,Cre17.g708800,23,N,1,light_specific_y2
29,LMJ.RY0402.178182,Cre09.g389912,22,B,13,light_specific_y2
30,LMJ.RY0402.056638,Cre05.g245351,20,D,20,light_specific_y2
31,LMJ.RY0402.088280,Cre13.g603700,20,K,3,light_specific_y2
32,LMJ.RY0402.041908,Cre02.g076987,15,J,12,light_specific_y2
