,mutant_ID,mutated_genes,plate,i (converted to letter),j,source_df
0,LMJ.RY0402.062549,Cre09.g394251,2,A,6,light_specific_y2
1,LMJ.RY0402.061906,Cre08.g384150,2,A,23,light_specific_y2
2,LMJ.RY0402.065234,Cre08.g379800,2,B,3,light_specific_y2
3,LMJ.RY0402.068402,Cre10.g437300,2,B,4,light_specific_y2
4,LMJ.RY0402.068880,Cre01.g040250,2,B,15,light_specific_y2
5,LMJ.RY0402.069599,Cre09.g391753,2,C,21,light_specific_y2
6,LMJ.RY0402.077556,Cre09.g391753,2,D,1,light_specific_y2
7,LMJ.RY0402.060051,Cre01.g015200,2,E,3,light_specific_y2
8,LMJ.RY0402.065715,Cre01.g040250,2,G,2,light_specific_y2
9,LMJ.RY0402.061511,Cre12.g538200,2,G,10,light_specific_y2
10,LMJ.RY0402.076735,Cre12.g560700,2,H,13,light_specific_y2
11,LMJ.RY0402.068157,Cre02.g112200,2,J,15,light_specific_y2
12,LMJ.RY0402.071130,Cre16.g654600,2,K,3,light_specific_y2
13,LMJ.RY0402.068502,Cre17.g709900,2,N,4,light_specific_y2
14,LMJ.RY0402.076841,Cre04.g216050,2,P,10,light_specific_y2
15,LMJ.RY0402.062350,Cre10.g437300,2,P,24,light_specific_y2
64,LMJ.RY0402.080910,Cre13.g589400,3,D,6,light_specific_y2
65,LMJ.RY0402.081651,Cre12.g538200,3,E,1,light_specific_y2
66,LMJ.RY0402.084656,Cre01.g010864,3,F,9,light_specific_y2
67,LMJ.RY0402.084535,Cre08.g384150,3,F,20,light_specific_y2
68,LMJ.RY0402.086008,Cre10.g451450,3,H,20,light_specific_y2
69,LMJ.RY0402.087011,Cre07.g334950,3,I,15,light_specific_y2
70,LMJ.RY0402.087316,Cre07.g334950,3,I,16,light_specific_y2
71,LMJ.RY0402.088745,Cre10.g451752,3,J,21,light_specific_y2
72,LMJ.RY0402.090562,Cre08.g384150,3,L,2,light_specific_y2
73,LMJ.RY0402.090264,Cre11.g467675,3,L,7,light_specific_y2
74,LMJ.RY0402.092535,Cre02.g112200,3,M,15,light_specific_y2
