,outlier_type,gene_list
0,light_specific_y2,Cre16.g675350
1,light_specific_y2,Cre11.g476050
2,light_specific_y2,Cre12.g524750
3,light_specific_y2,Cre12.g538550
4,light_specific_y2,Cre16.g647850
5,light_specific_y2,Cre17.g728250
6,light_specific_y2,Cre07.g352950
7,light_specific_y2,Cre03.g182850
8,light_specific_y2,Cre10.g453900
9,light_specific_y2,Cre03.g183200
10,light_specific_y2,Cre08.g384150
11,light_specific_y2,Cre02.g112250
12,light_specific_y2,Cre05.g245351
13,light_specific_y2,Cre07.g344600
14,light_specific_y2,Cre16.g658900
15,light_specific_y2,Cre08.g374450
16,light_specific_y2,Cre10.g443150
17,light_specific_y2,Cre02.g095135
18,light_specific_y2,Cre04.g224700
19,light_specific_y2,Cre14.g627251
20,light_specific_y2,Cre07.g326800
21,light_specific_y2,Cre13.g590600
22,light_specific_y2,Cre17.g708800
23,light_specific_y2,Cre08.g379800
24,light_specific_y2,Cre09.g389912
25,light_specific_y2,Cre13.g603700
26,light_specific_y2,Cre02.g076987
27,light_specific_y2,Cre01.g030700
28,light_specific_y2,Cre09.g394251
29,light_specific_y2,Cre11.g467675
30,light_specific_y2,Cre04.g222550
31,light_specific_y2,Cre14.g611517
32,light_specific_y2,Cre02.g112150
33,light_specific_y2,Cre03.g192450
34,light_specific_y2,Cre12.g503500
35,light_specific_y2,Cre10.g451752
36,light_specific_y2,Cre08.g382620
37,light_specific_y2,Cre02.g108500
38,light_specific_y2,Cre06.g292000
39,light_specific_y2,Cre12.g560700
40,light_specific_y2,Cre16.g677200
41,light_specific_y2,Cre10.g451450
42,light_specific_y2,Cre16.g692116
43,light_specific_y2,Cre01.g010864
44,light_specific_y2,Cre12.g538200
45,light_specific_y2,Cre10.g441850
46,light_specific_y2,Cre01.g001800
47,light_specific_y2,Cre16.g668250
48,light_specific_y2,Cre10.g432600
49,light_specific_y2,Cre01.g017200
50,light_specific_y2,Cre01.g038900
51,light_specific_y2,Cre12.g515400
52,light_specific_y2,Cre09.g395769
53,light_specific_y2,Cre12.g552600
54,light_specific_y2,Cre10.g434650
55,light_specific_y2,Cre01.g015200
56,light_specific_y2,Cre06.g257600
57,light_specific_y2,Cre01.g040250
58,light_specific_y2,Cre17.g716400
59,light_specific_y2,Cre03.g176961
60,light_specific_y2,Cre10.g437300
61,light_specific_y2,Cre07.g330200
62,light_specific_y2,Cre09.g390319
63,light_specific_y2,Cre09.g391753
64,light_specific_y2,Cre12.g554100
65,light_specific_y2,Cre16.g654600
66,light_specific_y2,Cre09.g387400
67,light_specific_y2,Cre02.g112200
68,light_specific_y2,Cre08.g378800
69,light_specific_y2,Cre01.g025400
70,light_specific_y2,Cre13.g592100
71,light_specific_y2,Cre08.g361000
72,light_specific_y2,Cre01.g045150
73,light_specific_y2,Cre12.g550800
74,light_specific_y2,Cre09.g407150
75,light_specific_y2,Cre12.g558250
76,light_specific_y2,Cre06.g260550
77,light_specific_y2,Cre17.g709900
78,light_specific_y2,Cre04.g216050
79,light_specific_y2,Cre08.g358568
80,light_specific_y2,Cre09.g392500
81,light_specific_y2,Cre07.g334950
82,light_specific_y2,Cre01.g000100
83,light_specific_y2,Cre13.g589400
84,light_specific_y2,Cre14.g614850
