,outlier_type,gene_list
0,light_specific_ynpq,Cre17.g716400
1,light_specific_ynpq,Cre07.g352950
2,light_specific_ynpq,Cre01.g001800
3,light_specific_ynpq,Cre01.g015200
4,light_specific_ynpq,Cre11.g476050
5,light_specific_ynpq,Cre13.g590600
6,light_specific_ynpq,Cre08.g361000
7,light_specific_ynpq,Cre12.g503500
8,light_specific_ynpq,Cre17.g728250
9,light_specific_ynpq,Cre16.g654600
10,light_specific_ynpq,Cre13.g589400
11,light_specific_ynpq,Cre12.g552600
12,light_specific_ynpq,Cre06.g260550
13,light_specific_ynpq,Cre01.g017200
14,light_specific_ynpq,Cre08.g378800
15,light_specific_ynpq,Cre07.g344600
16,light_specific_ynpq,Cre07.g334950
17,light_specific_ynpq,Cre10.g441850
18,light_specific_ynpq,Cre17.g708800
19,light_specific_ynpq,Cre01.g010864
20,light_specific_ynpq,Cre12.g550800
21,light_specific_ynpq,Cre03.g192450
22,light_specific_ynpq,Cre08.g379800
23,light_specific_ynpq,Cre12.g554100
24,light_specific_ynpq,Cre09.g390319
25,light_specific_ynpq,Cre17.g709900
26,light_specific_ynpq,Cre10.g434650
27,light_specific_ynpq,Cre04.g224700
28,light_specific_ynpq,Cre07.g330200
29,light_specific_ynpq,Cre09.g407150
30,light_specific_ynpq,Cre09.g395769
31,light_specific_ynpq,Cre02.g095135
32,light_specific_ynpq,Cre14.g614850
33,light_specific_ynpq,Cre08.g382620
34,light_specific_ynpq,Cre12.g524750
35,light_specific_ynpq,Cre09.g392500
36,light_specific_ynpq,Cre09.g387400
37,light_specific_ynpq,Cre11.g467675
38,light_specific_ynpq,Cre16.g677200
39,light_specific_ynpq,Cre16.g658900
40,light_specific_ynpq,Cre10.g432600
41,light_specific_ynpq,Cre13.g592100
42,light_specific_ynpq,Cre04.g216050
43,light_specific_ynpq,Cre03.g183200
44,light_specific_ynpq,Cre01.g025400
45,light_specific_ynpq,Cre04.g222550
46,light_specific_ynpq,Cre02.g112200
47,light_specific_ynpq,Cre09.g389912
48,light_specific_ynpq,Cre07.g326800
49,light_specific_ynpq,Cre02.g108500
50,light_specific_ynpq,Cre14.g611517
51,light_specific_ynpq,Cre08.g384150
52,light_specific_ynpq,Cre09.g394251
53,light_specific_ynpq,Cre06.g257600
54,light_specific_ynpq,Cre16.g647850
55,light_specific_ynpq,Cre02.g112150
56,light_specific_ynpq,Cre10.g453900
57,light_specific_ynpq,Cre14.g627251
58,light_specific_ynpq,Cre10.g443150
59,light_specific_ynpq,Cre08.g358568
60,light_specific_ynpq,Cre02.g112250
61,light_specific_ynpq,Cre12.g538200
62,light_specific_ynpq,Cre01.g045150
63,light_specific_ynpq,Cre13.g603700
64,light_specific_ynpq,Cre03.g176961
65,light_specific_ynpq,Cre06.g292000
66,light_specific_ynpq,Cre10.g451450
67,light_specific_ynpq,Cre01.g030700
68,light_specific_ynpq,Cre02.g076987
69,light_specific_ynpq,Cre01.g038900
70,light_specific_ynpq,Cre05.g245351
71,light_specific_ynpq,Cre16.g692116
72,light_specific_ynpq,Cre01.g040250
73,light_specific_ynpq,Cre12.g515400
74,light_specific_ynpq,Cre10.g437300
75,light_specific_ynpq,Cre12.g558250
76,light_specific_ynpq,Cre08.g374450
77,light_specific_ynpq,Cre16.g675350
78,light_specific_ynpq,Cre12.g560700
79,light_specific_ynpq,Cre10.g451752
